crate	version	scope	declared_license	review_route	archive_sha256	archive_url	notice_files
ipnet	2.12.0	transitive	MIT OR Apache-2.0	MIT	d98f6fed1fde3f8c21bc40a1abb88dd75e67924f9cffc3ef95607bad8017f8e2	https://crates.io/api/v1/crates/ipnet/2.12.0/download	LICENSE-APACHE; LICENSE-MIT
is_terminal_polyfill	1.70.2	transitive	MIT OR Apache-2.0	MIT	a6cb138bb79a146c1bd460005623e142ef0181e3d0219cb493e02f7d08a35695	https://crates.io/api/v1/crates/is_terminal_polyfill/1.70.2/download	LICENSE-APACHE; LICENSE-MIT
itoa	1.0.18	transitive	MIT OR Apache-2.0	MIT	8f42a60cbdf9a97f5d2305f08a87dc4e09308d1276d28c869c684d7777685682	https://crates.io/api/v1/crates/itoa/1.0.18/download	LICENSE-APACHE; LICENSE-MIT
js-sys	0.3.103	transitive	MIT OR Apache-2.0	MIT	53b44bfcdb3f8d5837a46dae1ca9660a837176eee74a28b229bc626816589102	https://crates.io/api/v1/crates/js-sys/0.3.103/download	LICENSE-APACHE; LICENSE-MIT
lazy_static	1.5.0	transitive	MIT OR Apache-2.0	MIT	bbd2bcb4c963f2ddae06a2efc7e9f3591312473c50c6685e1f298068316e66fe	https://crates.io/api/v1/crates/lazy_static/1.5.0/download	LICENSE-APACHE; LICENSE-MIT
libc	0.2.186	transitive	MIT OR Apache-2.0	MIT	68ab91017fe16c622486840e4c83c9a37afeff978bd239b5293d61ece587de66	https://crates.io/api/v1/crates/libc/0.2.186/download	LICENSE-APACHE; LICENSE-MIT
libm	0.2.16	transitive	MIT	MIT	b6d2cec3eae94f9f509c767b45932f1ada8350c4bdb85af2fcab4a3c14807981	https://crates.io/api/v1/crates/libm/0.2.16/download	LICENSE.txt
libredox	0.1.18	transitive	MIT	MIT	c943259e342f1e06ff2da7a83eabdfe7f92ce10262688dbf1895ff0b3e6e4652	https://crates.io/api/v1/crates/libredox/0.1.18/download	LICENSE
libsqlite3-sys	0.30.1	transitive	MIT	MIT	2e99fb7a497b1e3339bc746195567ed8d3e24945ecd636e3619d20b9de9e9149	https://crates.io/api/v1/crates/libsqlite3-sys/0.30.1/download	LICENSE; sqlcipher/LICENSE
linux-raw-sys	0.12.1	transitive	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	MIT	32a66949e030da00e8c7d4434b251670a91556f4144941d37452769c25d58a53	https://crates.io/api/v1/crates/linux-raw-sys/0.12.1/download	COPYRIGHT; LICENSE-APACHE; LICENSE-Apache-2.0_WITH_LLVM-exception; LICENSE-MIT
litemap	0.8.2	transitive	Unicode-3.0	Unicode-3.0	92daf443525c4cce67b150400bc2316076100ce0b3686209eb8cf3c31612e6f0	https://crates.io/api/v1/crates/litemap/0.8.2/download	LICENSE
